author_1,author_2,weight
2431887,1396068894,1
2431887,1818922,1
2431887,1736813,1
2431887,6003233,1
2431887,2146113922,1
2431887,2214204,1
2431887,1772918,1
2431887,2158112540,1
2431887,2287832440,2
2431887,1718203,2
2431887,1600570032,2
2431887,2090700,3
2431887,2433461,1
2431887,72021062,1
2431887,1388340317,3
2431887,2496338,2
2431887,2592776,1
2431887,47832777,1
2431887,2901654,1
2431887,2145438,1
2431887,2074809719,1
2431887,2097523,2
2431887,33928001,1
2431887,46205525,1
2431887,2106841357,1
2431887,145161513,1
2431887,93490977,1
2431887,2141260,1
2431887,1906892,1
2431887,145919954,1
2431887,49902832,1
2431887,11526470,1
2431887,2202802,1
2431887,2941745,1
2431887,2114027219,1
2431887,7604092,1
2431887,145646525,1
48436657,143697638,2
143697638,1792600,1
143697638,2000327820,1
143697638,3480712,1
143697638,2690274,1
143697638,47540368,1
143697638,2871157,1
143697638,2137947,2
143697638,2719951,1
143697638,49723922,1
143697638,1716777,1
143697638,2913977,1
143697638,46444576,1
143697638,49339351,1
143697638,2591098,1
143697638,32038756,1
143697638,49386152,1
143697638,2510809,1
143697638,1776776,1
143697638,4280229,1
143697638,145330855,1
143697638,48594910,1
1821358,2676819,1
1821358,1387946952,1
1821358,145144224,1
1821358,48479545,1
1821358,8528405,1
1821358,35220961,1
1821358,2440937,1
1821358,1710257,1
1821358,1896450,1
1821358,33923116,1
1821358,144055554,1
1821358,34217324,10
1821358,1694232,1
1821358,2219829481,1
1821358,1429718095,5
1821358,2136607232,2
1821358,3146218,2
1821358,145928729,1
1821358,2266831,1
1821358,2054842872,1
1821358,12653154,2
1821358,91002032,1
1821358,3240865,4
1821358,7318884,2
1821358,2332346328,2
1821358,2332346300,2
1821358,6411839,2
1821358,2316385734,1
1821358,1398042885,2
1821358,2253650726,3
1821358,5966950,2
1821358,50148140,1
1821358,14937975,1
1821358,1745069,1
1821358,6016393,1
1821358,3731739,1
1821358,4220663,1
1821358,47506525,1
1821358,1404680724,1
1821358,83074638,1
1821358,1576931539,1
1821358,3212330,3
1821358,3177814,3
1821358,2115588659,1
1821358,2513204,1
1821358,34750480,1
1821358,38759634,1
1821358,1422139658,4
1821358,14822739,1
1821358,2679902,3
1821358,46691130,1
1821358,115075127,1
1821358,15230369,1
1821358,3726358,1
1821358,144046958,1
1821358,1486473013,1
1821358,6335345,1
1821358,51123369,1
1821358,1846072129,1
1821358,150007672,1
1821358,10446259,1
1821358,40614254,1
1821358,2112225104,1
1821358,15016085,1
1821358,118603363,1
1821358,81935047,1
1821358,38386188,1
1821358,145419294,1
1821358,119452150,1
1821358,6467670,1
1821358,146398384,1
1821358,115195764,1
1821358,5781299,1
1821358,1700742310,1
1821358,1405288941,1
1821358,1846071985,1
1821358,16091068,1
1821358,2138839953,1
1821358,35916158,1
1821358,5188198,1
1821358,1939498,1
1821358,79454099,1
1821358,144707887,1
1821358,2112839728,1
1821358,2977883,1
1821358,2062339710,1
1821358,2284336283,1
1821358,2387267898,1
1821358,2361891710,1
1821358,2169724236,1
1821358,31642970,2
1821358,4504722,3
1821358,2583564,3
1821358,40261197,2
1821358,3009903,2
1821358,1401325445,1
